@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
48,'2019/09/24 12:25:59:595',2,534.559753,371.91687,16.956562,629.334717,373.223663,30.127878,663.938721,375.706909,32.133438,710.770874,366.108765,28.590065,749.15918,360.109314,22.51667,1
49,'2019/09/24 12:25:59:643',2,533.559631,372.031128,16.8969,628.442322,373.485352,30.092436,663.237549,375.780701,32.134315,709.448303,366.417236,28.392017,748.491455,360.725342,22.2556,1
50,'2019/09/24 12:25:59:691',2,533.067627,372.086121,16.868095,626.589478,373.74054,30.071606,661.908325,375.933105,32.11927,708.167847,366.792786,28.218849,747.594666,361.086121,22.105944,1
51,'2019/09/24 12:25:59:742',2,531.811523,372.188599,16.790943,623.69574,374.215729,29.99729,659.313477,376.214386,32.07753,706.218872,367.20517,28.01399,746.664307,361.407227,21.982786,1
52,'2019/09/24 12:25:59:792',2,529.614685,372.340118,16.653366,621.10437,374.540192,29.946146,657.729248,376.370178,32.052147,703.708191,367.618713,27.807373,745.74939,361.712921,21.861536,1
53,'2019/09/24 12:25:59:845',2,524.52655,372.072906,16.481148,615.951965,374.078796,29.915993,653.234131,375.725983,32.051781,698.819031,367.224304,27.699091,741.719482,361.436554,21.742353,1
54,'2019/09/24 12:25:59:895',2,521.63324,371.888,16.390884,612.646851,372.408264,30.254089,650.625854,374.056946,32.342758,696.182983,366.420135,27.784367,739.431396,361.048645,21.728075,1
55,'2019/09/24 12:25:59:943',2,518.07959,370.177124,16.465321,606.647034,367.230133,31.226931,648.069824,368.516052,33.283859,694.372192,362.710815,28.398792,737.88916,358.66449,22.061932,1
56,'2019/09/24 12:25:59:994',2,524.324463,359.186188,17.702179,603.935486,360.615784,33.745079,643.436768,361.550964,36.372116,695.137207,356.057983,32.06266,743.770203,352.241394,26.173027,1
57,'2019/09/24 12:26:00:043',2,518.664734,346.078186,17.877037,594.424561,342.125,34.243004,632.432373,343.100159,36.982628,685.606384,340.564758,32.830303,734.645508,339.779785,27.275082,1
58,'2019/09/24 12:26:00:095',2,517.932495,334.695404,17.643063,589.24939,322.864136,33.979614,629.180847,322.826538,36.890747,681.532837,322.217224,32.854218,731.300415,323.932892,27.513353,1
59,'2019/09/24 12:26:00:145',2,518.893188,318.198975,17.234138,584.551819,300.312988,33.226593,634.840454,301.020325,36.310135,678.727173,299.424194,32.534885,728.526611,303.102722,27.481985,1
60,'2019/09/24 12:26:00:194',2,521.909546,306.783142,17.571682,586.622375,281.401245,32.498081,641.161072,281.724609,35.490105,684.525452,279.132019,31.806221,732.282715,284.426483,26.858719,1
61,'2019/09/24 12:26:00:244',2,529.209961,289.737122,18.116728,589.693176,258.892181,31.821041,646.668579,258.376709,34.798679,692.478149,253.497452,31.319447,738.393677,260.805267,26.498243,1
62,'2019/09/24 12:26:00:294',2,537.920532,275.214142,18.098986,592.371338,242.255737,31.606222,650.076965,241.192047,34.773342,697.301453,234.409515,31.590925,743.776123,241.863556,27.021307,1
63,'2019/09/24 12:26:00:344',2,546.714966,261.94458,18.147602,598.938538,227.789795,31.619791,658.164856,224.761658,34.797672,704.145691,217.867065,31.733572,749.874573,224.851898,27.188759,1
64,'2019/09/24 12:26:00:394',2,551.104736,246.544785,18.456285,609.718811,211.829987,31.75676,667.038818,209.816833,34.57785,713.63623,202.144348,31.367825,757.279053,209.359985,26.547689,1
65,'2019/09/24 12:26:00:444',2,554.410156,235.336304,18.865978,615.497437,199.337097,31.887762,672.0271,197.448669,34.556721,718.770386,189.758545,31.295221,761.915405,197.632843,26.410414,1
66,'2019/09/24 12:26:00:495',2,559.056152,224.589722,18.562689,619.35791,186.95578,31.524954,675.74707,183.728088,34.120312,721.921753,176.577026,30.958767,765.170288,184.130157,26.053507,1
67,'2019/09/24 12:26:00:544',2,559.164307,213.894928,18.321245,618.425415,175.062958,31.301323,674.625977,171.444092,33.977898,721.730591,164.409058,31.029985,764.743774,173.050934,26.225832,1
68,'2019/09/24 12:26:00:596',2,556.738586,201.670044,18.221632,615.666382,160.978699,31.012857,671.7229,156.758362,33.661858,718.8125,150.135651,30.782049,761.534363,159.36795,26.021095,1
69,'2019/09/24 12:26:00:646',2,552.951782,194.451233,18.301088,610.61731,153.883209,31.279982,666.708191,148.410919,33.914619,713.448975,142.217163,31.188461,756.559998,151.06488,26.437056,1
70,'2019/09/24 12:26:00:695',2,549.576172,184.809662,18.360149,608.029846,142.823242,31.157673,662.302185,139.271881,33.71991,710.627502,131.400757,31.030943,753.482544,140.801025,26.28861,1
71,'2019/09/24 12:26:00:745',2,547.115417,179.958557,18.549797,604.290161,136.393799,31.052849,657.689026,132.449524,33.624538,706.268494,124.634064,30.994141,750.182251,133.983429,26.361258,1
72,'2019/09/24 12:26:00:795',2,542.269287,166.187775,19.024366,602.182861,122.641083,31.206406,655.519531,118.92337,33.639969,704.129639,110.887665,30.890574,747.525757,121.067596,26.251183,1
