@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
3866,'2019/09/24 11:29:37:928',44,514.319763,299.015808,13.97205,601.233032,285.047089,28.29747,645.07074,287.017212,31.049526,699.3927,290.882263,32.414177,744.699707,292.917755,28.161053,1
3867,'2019/09/24 11:29:37:979',44,513.546326,299.776733,14.120609,600.618652,285.976227,28.390259,644.377258,287.964294,31.151497,698.532532,292.128235,32.549721,743.728149,294.20752,28.318182,1
3868,'2019/09/24 11:29:38:030',44,512.749207,305.550415,14.524326,600.799072,292.121246,28.749203,644.779663,294.012634,31.452076,698.913696,298.208008,32.767944,743.722412,299.589539,28.493528,1
3869,'2019/09/24 11:29:38:079',44,512.488098,313.748901,14.333244,600.34967,301.538025,28.762135,644.56189,303.07074,31.501631,698.143066,307.666077,32.743233,742.780518,308.436218,28.469229,1
3870,'2019/09/24 11:29:38:130',44,512.575928,320.063354,13.978558,599.540222,310.429382,28.515337,643.414429,312.30899,31.29917,695.865784,318.077942,32.485577,741.092285,317.648743,28.354992,1
3871,'2019/09/24 11:29:38:179',44,510.312836,329.125153,13.635357,598.802124,322.094421,27.890133,642.773743,324.430695,30.655659,695.04541,330.747955,31.814531,739.856628,330.902466,27.603527,1
3872,'2019/09/24 11:29:38:230',44,509.426239,336.700867,13.242088,598.604797,331.552948,27.239124,642.605835,334.438171,30.049999,694.681763,341.149902,31.157873,739.041504,341.89682,26.900377,1
3873,'2019/09/24 11:29:38:279',44,509.107391,348.743622,12.521343,595.992554,346.455811,26.28804,638.897644,352.243164,28.817345,692.255249,356.964294,30.232676,736.325745,357.0466,25.990381,1
3874,'2019/09/24 11:29:38:330',44,508.970398,358.824707,11.797112,595.212219,359.289551,25.26679,638.346802,365.074524,27.851542,692.017456,369.488403,29.243328,736.157166,369.1474,25.032135,1
3875,'2019/09/24 11:29:38:379',44,511.366241,370.741791,10.850082,594.390503,372.710632,24.3601,637.405823,379.783783,27.548155,691.638733,383.011566,28.291647,736.623779,382.560364,24.160135,1
3876,'2019/09/24 11:29:38:429',44,517.161072,384.204559,9.275902,588.007568,391.553955,24.022758,633.850708,398.866608,27.35458,688.645752,399.161469,27.687901,735.406189,395.294373,23.928551,1
3877,'2019/09/24 11:29:38:480',44,509.664429,392.55307,10.539059,586.831055,406.206696,24.793478,636.189453,415.428345,27.358841,691.428955,416.671234,26.587311,732.918823,412.876404,22.288517,1
3878,'2019/09/24 11:29:38:530',44,520.428467,400.149902,7.726517,582.58429,414.041382,23.229738,631.228027,423.182007,26.385942,686.784851,424.322083,26.103456,731.387451,419.864197,22.425526,1
3879,'2019/09/24 11:29:38:580',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3880,'2019/09/24 11:29:38:629',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3881,'2019/09/24 11:29:38:678',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3882,'2019/09/24 11:29:38:727',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3883,'2019/09/24 11:29:38:778',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3884,'2019/09/24 11:29:38:831',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3885,'2019/09/24 11:29:38:880',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3886,'2019/09/24 11:29:38:929',44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3887,'2019/09/24 11:29:38:982',44,532.31665,358.714447,8.591091,607.566162,362.099548,27.777168,639.880981,371.87796,30.215086,692.887573,373.505127,28.298515,754.305054,366.739075,22.721144,1
